NODE_KEY                        ,PARENT_KEY_NODE_KEY               ,PO_ITEM_POS,PRODUCT_GUID_NODE_KEY    ,CURRENCY_CODE,GROSS_AMOUNT        ,NET_AMOUNT          ,TAX_AMOUNT          
74867AD200E41EDBA5D8B0CBD35A0052,74867AD200E41EDBA5D8B0C98DC28052  ,10,74867AD200E41EDBA5D8B06B26F60052  ,ARS          ,154.7,130,24.7
74867AD200E41EDBA5D8B0CBD35A2052,74867AD200E41EDBA5D8B0C98DC28052  ,20,74867AD200E41EDBA5D8B06B26F06052  ,ARS          ,402.22,338,64.22
74867AD200E41EDBA5D8B0CBD35A4052,74867AD200E41EDBA5D8B0C98DC28052  ,30,74867AD200E41EDBA5D8B06B26F60052  ,ARS          ,309.4,260,49.4
74867AD200E41EDBA5D8B0CBD35A6052,74867AD200E41EDBA5D8B0C98DC28052  ,40,74867AD200E41EDBA5D8B06B26F06052  ,ARS          ,402.22,338,64.22
74867AD200E41EDBA5D8B0CBD35A8052,74867AD200E41EDBA5D8B0C98DC28052  ,50,74867AD200E41EDBA5D8B06B26F60052  ,ARS          ,464.1,390,74.1
74867AD200E41EDBA5D8B0CBD35AA052,74867AD200E41EDBA5D8B0C98DC28052  ,60,74867AD200E41EDBA5D8B06B26F06052  ,ARS          ,402.22,338,64.22
74867AD200E41EDBA5D8B0CBD35AC052,74867AD200E41EDBA5D8B0C98DC28052  ,70,74867AD200E41EDBA5D8B06B26F60052  ,ARS          ,309.4,260,49.4
74867AD200E41EDBA5D8B0CBD35AE052,74867AD200E41EDBA5D8B0C98DC28052  ,80,74867AD200E41EDBA5D8B06B26F06052  ,ARS          ,402.22,338,64.22
74867AD200E41EDBA5D8B0CBD35B0052,74867AD200E41EDBA5D8B0C98DC28052  ,90,74867AD200E41EDBA5D8B06B26F60052  ,ARS          ,464.1,390,74.1
74867AD200E41EDBA5D8B0CBD35B2052,74867AD200E41EDBA5D8B0C98DC28052  ,100,74867AD200E41EDBA5D8B06B26F06052  ,ARS          ,603.33,507,96.33
74867AD200E41EDBA5D8B0CBD35B4052,74867AD200E41EDBA5D8B0C98DC2A052  ,10,74867AD200E41EDBA5D8B06B26F96052  ,EUR          ,"1,425.62","1,198.00",227.62
74867AD200E41EDBA5D8B0CBD35B6052,74867AD200E41EDBA5D8B0C98DC2A052  ,20,74867AD200E41EDBA5D8B06B26EE2052  ,EUR          ,117.81,99,18.81
74867AD200E41EDBA5D8B0CBD35B8052,74867AD200E41EDBA5D8B0C98DC2A052  ,30,74867AD200E41EDBA5D8B06B26F3C052  ,EUR          ,"11,900.00","10,000.00","1,900.00"
74867AD200E41EDBA5D8B0CBD35BA052,74867AD200E41EDBA5D8B0C98DC2A052  ,40,74867AD200E41EDBA5D8B06B26F96052  ,EUR          ,"1,425.62","1,198.00",227.62
74867AD200E41EDBA5D8B0CBD35BC052,74867AD200E41EDBA5D8B0C98DC2A052  ,50,74867AD200E41EDBA5D8B06B26EE2052  ,EUR          ,235.62,198,37.62
74867AD200E41EDBA5D8B0CBD35BE052,74867AD200E41EDBA5D8B0C98DC2A052  ,60,74867AD200E41EDBA5D8B06B26F3C052  ,EUR          ,"11,900.00","10,000.00","1,900.00"
74867AD200E41EDBA5D8B0CBD35C0052,74867AD200E41EDBA5D8B0C98DC2A052  ,70,74867AD200E41EDBA5D8B06B26F96052  ,EUR          ,"2,138.43","1,797.00",341.43
74867AD200E41EDBA5D8B0CBD35C2052,74867AD200E41EDBA5D8B0C98DC2A052  ,80,74867AD200E41EDBA5D8B06B26EE2052  ,EUR          ,353.43,297,56.43
74867AD200E41EDBA5D8B0CBD35C4052,74867AD200E41EDBA5D8B0C98DC2A052  ,90,74867AD200E41EDBA5D8B06B26F3C052  ,EUR          ,"11,900.00","10,000.00","1,900.00"
74867AD200E41EDBA5D8B0CBD35C6052,74867AD200E41EDBA5D8B0C98DC2A052  ,100,74867AD200E41EDBA5D8B06B26F96052  ,EUR          ,"2,138.43","1,797.00",341.43
74867AD200E41EDBA5D8B0CBD35C8052,74867AD200E41EDBA5D8B0C98DC2C052  ,10,74867AD200E41EDBA5D8B06B26F64052  ,DKK          ,"2,424.03","2,037.00",387.03
74867AD200E41EDBA5D8B0CBD35CA052,74867AD200E41EDBA5D8B0C98DC2C052  ,20,74867AD200E41EDBA5D8B06B26F0A052  ,DKK          ,"1,783.81","1,499.00",284.81
74867AD200E41EDBA5D8B0CBD35CC052,74867AD200E41EDBA5D8B0C98DC2C052  ,30,74867AD200E41EDBA5D8B06B26F64052  ,DKK          ,"1,616.02","1,358.00",258.02
74867AD200E41EDBA5D8B0CBD35CE052,74867AD200E41EDBA5D8B0C98DC2C052  ,40,74867AD200E41EDBA5D8B06B26F0A052  ,DKK          ,"3,567.62","2,998.00",569.62
74867AD200E41EDBA5D8B0CBD35D0052,74867AD200E41EDBA5D8B0C98DC2C052  ,50,74867AD200E41EDBA5D8B06B26F64052  ,DKK          ,808.01,679,129.01
74867AD200E41EDBA5D8B0CBD35D2052,74867AD200E41EDBA5D8B0C98DC2C052  ,60,74867AD200E41EDBA5D8B06B26F0A052  ,DKK          ,"3,567.62","2,998.00",569.62
74867AD200E41EDBA5D8B0CBD35D4052,74867AD200E41EDBA5D8B0C98DC2C052  ,70,74867AD200E41EDBA5D8B06B26F64052  ,DKK          ,808.01,679,129.01
74867AD200E41EDBA5D8B0CBD35D6052,74867AD200E41EDBA5D8B0C98DC2C052  ,80,74867AD200E41EDBA5D8B06B26F0A052  ,DKK          ,"3,567.62","2,998.00",569.62
74867AD200E41EDBA5D8B0CBD35D8052,74867AD200E41EDBA5D8B0C98DC2E052  ,10,74867AD200E41EDBA5D8B06B26F80052  ,GBP          ,"3,566.43","2,997.00",569.43
74867AD200E41EDBA5D8B0CBD35DA052,74867AD200E41EDBA5D8B0C98DC2E052  ,20,74867AD200E41EDBA5D8B06B26ECC052  ,GBP          ,"1,017.45",855,162.45
74867AD200E41EDBA5D8B0CBD35DC052,74867AD200E41EDBA5D8B0C98DC2E052  ,30,74867AD200E41EDBA5D8B06B26F26052  ,GBP          ,139.23,117,22.23
74867AD200E41EDBA5D8B0CBD35DE052,74867AD200E41EDBA5D8B0C98DC2E052  ,40,74867AD200E41EDBA5D8B06B26F80052  ,GBP          ,"1,188.81",999,189.81
74867AD200E41EDBA5D8B0CBD35E0052,74867AD200E41EDBA5D8B0C98DC2E052  ,50,74867AD200E41EDBA5D8B06B26ECC052  ,GBP          ,339.15,285,54.15
74867AD200E41EDBA5D8B0CBD35E2052,74867AD200E41EDBA5D8B0C98DC30052  ,10,74867AD200E41EDBA5D8B06B26F6E052  ,EUR          ,107.08,89.98,17.1
74867AD200E41EDBA5D8B0CBD35E4052,74867AD200E41EDBA5D8B0C98DC30052  ,20,74867AD200E41EDBA5D8B06B26F14052  ,EUR          ,95.08,79.9,15.18
74867AD200E41EDBA5D8B0CBD35E6052,74867AD200E41EDBA5D8B0C98DC30052  ,30,74867AD200E41EDBA5D8B06B26EBA052  ,EUR          ,"3,927.00","3,300.00",627
74867AD200E41EDBA5D8B0CBD35E8052,74867AD200E41EDBA5D8B0C98DC30052  ,40,74867AD200E41EDBA5D8B06B26F6E052  ,EUR          ,53.54,44.99,8.55
74867AD200E41EDBA5D8B0CBD35EA052,74867AD200E41EDBA5D8B0C98DC30052  ,50,74867AD200E41EDBA5D8B06B26F14052  ,EUR          ,285.24,239.7,45.54
