NODE_KEY                        ,PO_ID     ,PARTNER_GUID_NODE_KEY            ,CURRENCY_CODE,GROSS_AMOUNT        ,NET_AMOUNT          ,TAX_AMOUNT          ,LIFECYCLE_STATUS,OVERALL_STATUS
74867AD200E41EDBA5D8B0C98DC28052,300000000,74867AD200E41EDBA5D8B06885B04052  ,EUR          ,"3,913.91","3,289.00",624.91,N               ,P             
74867AD200E41EDBA5D8B0C98DC2A052,300000001,74867AD200E41EDBA5D8B06885AE0052  ,EUR          ,"43,534.96","36,584.00","6,950.96",N               ,P             
74867AD200E41EDBA5D8B0C98DC2C052,300000002,74867AD200E41EDBA5D8B06885B08052  ,EUR          ,"18,142.74","15,246.00","2,896.74",N               ,P             
74867AD200E41EDBA5D8B0C98DC2E052,300000003,74867AD200E41EDBA5D8B06885ACA052  ,EUR          ,"6,251.07","5,253.00",998.07,N               ,P             
74867AD200E41EDBA5D8B0C98DC30052,300000004,74867AD200E41EDBA5D8B06885AB8052  ,EUR          ,"4,467.94","3,754.57",713.37,N               ,P             
74867AD200E41EDBA5D8B0C98DC32052,300000005,74867AD200E41EDBA5D8B06885AB4052  ,EUR          ,"6,362.89","5,346.96","1,015.93",N               ,P             
74867AD200E41EDBA5D8B0C98DC34052,300000006,74867AD200E41EDBA5D8B06885AD2052  ,EUR          ,"4,348.26","3,654.00",694.26,N               ,P             
74867AD200E41EDBA5D8B0C98DC36052,300000007,74867AD200E41EDBA5D8B06885AFE052  ,EUR          ,"1,857.50","1,560.92",296.58,N               ,P             
74867AD200E41EDBA5D8B0C98DC38052,300000008,74867AD200E41EDBA5D8B06885AD0052  ,EUR          ,"2,791.74","2,346.00",445.74,N               ,P             
74867AD200E41EDBA5D8B0C98DC3A052,300000009,74867AD200E41EDBA5D8B06885AC6052  ,EUR          ,"1,427.76","1,199.80",227.96,N               ,P             
74867AD200E41EDBA5D8B0C98DC3C052,300000010,74867AD200E41EDBA5D8B06885AD6052  ,EUR          ,"7,261.38","6,102.00","1,159.38",N               ,P             
74867AD200E41EDBA5D8B0C98DC3E052,300000011,74867AD200E41EDBA5D8B06885AF8052  ,EUR          ,475.52,399.6,75.92,N               ,P             
74867AD200E41EDBA5D8B0C98DC40052,300000012,74867AD200E41EDBA5D8B06885AE8052  ,EUR          ,"15,621.13","13,127.00","2,494.13",N               ,P             
74867AD200E41EDBA5D8B0C98DC42052,300000013,74867AD200E41EDBA5D8B06885AB4052  ,EUR          ,"6,320.04","5,310.95","1,009.09",N               ,P             
74867AD200E41EDBA5D8B0C98DC44052,300000014,74867AD200E41EDBA5D8B06885AF6052  ,EUR          ,239.19,201,38.19,N               ,P             
74867AD200E41EDBA5D8B0C98DC46052,300000015,74867AD200E41EDBA5D8B06885ACC052  ,EUR          ,"13,075.83","10,988.10","2,087.73",N               ,P             
74867AD200E41EDBA5D8B0C98DC48052,300000016,74867AD200E41EDBA5D8B06885ADC052  ,EUR          ,"1,942.08","1,632.00",310.08,N               ,P             
74867AD200E41EDBA5D8B0C98DC4A052,300000017,74867AD200E41EDBA5D8B06885AB4052  ,EUR          ,117.8,98.99,18.81,N               ,P             
74867AD200E41EDBA5D8B0C98DC4C052,300000018,74867AD200E41EDBA5D8B06885ABE052  ,EUR          ,"19,813.50","16,650.00","3,163.50",N               ,P             
74867AD200E41EDBA5D8B0C98DC4E052,300000019,74867AD200E41EDBA5D8B06885AB8052  ,EUR          ,"8,448.47","7,099.56","1,348.91",N               ,P             
74867AD200E41EDBA5D8B0C98DC50052,300000020,74867AD200E41EDBA5D8B06885AFA052  ,EUR          ,"3,980.08","3,344.60",635.48,N               ,P             
74867AD200E41EDBA5D8B0C98DC52052,300000021,74867AD200E41EDBA5D8B06885ABE052  ,EUR          ,"7,625.52","6,408.00","1,217.52",N               ,P             
74867AD200E41EDBA5D8B0C98DC54052,300000022,74867AD200E41EDBA5D8B06885AD0052  ,EUR          ,"1,535.10","1,290.00",245.1,N               ,P             
74867AD200E41EDBA5D8B0C98DC56052,300000023,74867AD200E41EDBA5D8B06885B04052  ,EUR          ,"1,624.35","1,365.00",259.35,N               ,P             
74867AD200E41EDBA5D8B0C98DC58052,300000024,74867AD200E41EDBA5D8B06885AC0052  ,EUR          ,"13,781.39","11,581.00","2,200.39",N               ,P             
74867AD200E41EDBA5D8B0C98DC5A052,300000025,74867AD200E41EDBA5D8B06885AE0052  ,EUR          ,"47,582.15","39,985.00","7,597.15",N               ,P             
74867AD200E41EDBA5D8B0C98DC5C052,300000026,74867AD200E41EDBA5D8B06885AE6052  ,EUR          ,"18,190.34","15,286.00","2,904.34",N               ,P             
74867AD200E41EDBA5D8B0C98DC5E052,300000027,74867AD200E41EDBA5D8B06885AB2052  ,EUR          ,"9,182.04","7,716.00","1,466.04",N               ,P             
74867AD200E41EDBA5D8B0C98DC60052,300000028,74867AD200E41EDBA5D8B06885B06052  ,EUR          ,"5,806.01","4,879.00",927.01,N               ,P             
74867AD200E41EDBA5D8B0C98DC62052,300000029,74867AD200E41EDBA5D8B06885AC6052  ,EUR          ,"1,626.37","1,366.70",259.67,N               ,P             
74867AD200E41EDBA5D8B0C98DC64052,300000030,74867AD200E41EDBA5D8B06885B04052  ,EUR          ,"2,691.78","2,262.00",429.78,N               ,P             
74867AD200E41EDBA5D8B0C98DC66052,300000031,74867AD200E41EDBA5D8B06885AE8052  ,EUR          ,"4,950.40","4,160.00",790.4,N               ,P             
74867AD200E41EDBA5D8B0C98DC68052,300000032,74867AD200E41EDBA5D8B06885AE6052  ,EUR          ,"12,020.19","10,101.00","1,919.19",N               ,P             
74867AD200E41EDBA5D8B0C98DC6A052,300000033,74867AD200E41EDBA5D8B06885AE2052  ,EUR          ,"71,973.58","60,482.00","11,491.58",N               ,P             
74867AD200E41EDBA5D8B0C98DC6C052,300000034,74867AD200E41EDBA5D8B06885B08052  ,EUR          ,"8,751.26","7,354.00","1,397.26",N               ,P             
74867AD200E41EDBA5D8B0C98DC6E052,300000035,74867AD200E41EDBA5D8B06885AEC052  ,EUR          ,"4,938.50","4,150.00",788.5,N               ,P             
74867AD200E41EDBA5D8B0C98DC70052,300000036,74867AD200E41EDBA5D8B06885AF2052  ,EUR          ,"3,227.24","2,711.97",515.27,N               ,P             
74867AD200E41EDBA5D8B0C98DC72052,300000037,74867AD200E41EDBA5D8B06885AF0052  ,EUR          ,"8,542.94","7,178.94","1,364.00",N               ,P             
74867AD200E41EDBA5D8B0C98DC74052,300000038,74867AD200E41EDBA5D8B06885AC6052  ,EUR          ,"3,485.98","2,929.40",556.58,N               ,P             
74867AD200E41EDBA5D8B0C98DC76052,300000039,74867AD200E41EDBA5D8B06885AB4052  ,EUR          ,"6,127.29","5,148.98",978.31,N               ,P             
74867AD200E41EDBA5D8B0C98DC78052,300000040,74867AD200E41EDBA5D8B06885AC4052  ,EUR          ,"13,274.68","11,155.20","2,119.48",N               ,P             
74867AD200E41EDBA5D8B0C98DC7A052,300000041,74867AD200E41EDBA5D8B06885AF2052  ,EUR          ,"1,933.73","1,624.98",308.75,N               ,P             
74867AD200E41EDBA5D8B0C98DC7C052,300000042,74867AD200E41EDBA5D8B06885ABE052  ,EUR          ,"2,153.90","1,810.00",343.9,N               ,P             
74867AD200E41EDBA5D8B0C98DC7E052,300000043,74867AD200E41EDBA5D8B06885AE6052  ,EUR          ,"5,622.75","4,725.00",897.75,N               ,P             
74867AD200E41EDBA5D8B0C98DC80052,300000044,74867AD200E41EDBA5D8B06885ABE052  ,EUR          ,"20,476.33","17,207.00","3,269.33",N               ,P             
74867AD200E41EDBA5D8B0C98DC82052,300000045,74867AD200E41EDBA5D8B06885AE2052  ,EUR          ,"90,278.16","75,864.00","14,414.16",N               ,P             
74867AD200E41EDBA5D8B0C98DC84052,300000046,74867AD200E41EDBA5D8B06885AE0052  ,EUR          ,"12,848.43","10,797.00","2,051.43",N               ,P             
74867AD200E41EDBA5D8B0C98DC86052,300000047,74867AD200E41EDBA5D8B06885B04052  ,EUR          ,"1,067.43",897,170.43,N               ,P             
74867AD200E41EDBA5D8B0C98DC88052,300000048,74867AD200E41EDBA5D8B06885AEE052  ,EUR          ,"5,257.42","4,418.00",839.42,N               ,P             
