NODE_KEY                        ,PRODUCT_ID,TYPE_CODE,CATEGORY                                  ,SUPPLIER_GUID_NODE_KEY            ,TAX_TARIF_CODE,MEASURE_UNIT,WEIGHT_MEASURE   ,WEIGHT_UNIT,CURRENCY_CODE,PRICE               ,WIDTH            ,DEPTH            ,HEIGHT           ,DIM_UNIT,DESCRIPTION
74867AD200E41EDBA5D8B06B26EB4052,HT-1000   ,PR       ,Notebooks                                 ,74867AD200E41EDBA5D8B06885AB2052  ,1,EA          ,4.2,KG         ,EUR          ,956,30,18,3,CM      ,"Notebook Basic 15 with 2,80 GHz quad core, 15"" LCD, 4 GB DDR3 RAM, 500 GB Hard Disc, Windows 8 Pro                                                                                                                                                             "
74867AD200E41EDBA5D8B06B26EB6052,HT-1001   ,PR       ,Notebooks                                 ,74867AD200E41EDBA5D8B06885AB4052  ,1,EA          ,4.5,KG         ,EUR          ,1249,29,17,3.1,CM      ,"Notebook Basic 17 with 2,80 GHz quad core, 17"" LCD, 4 GB DDR3 RAM, 500 GB Hard Disc, Windows 8 Pro                                                                                                                                                             "
74867AD200E41EDBA5D8B06B26EB8052,HT-1002   ,PR       ,Notebooks                                 ,74867AD200E41EDBA5D8B06885AB6052  ,1,EA          ,4.2,KG         ,USD          ,1570,28,19,2.5,CM      ,"Notebook Basic 18 with 2,80 GHz quad core, 18"" LCD, 8 GB DDR3 RAM, 1000 GB Hard Disc, Windows 8 Pro                                                                                                                                                            "
74867AD200E41EDBA5D8B06B26EBA052,HT-1003   ,PR       ,Notebooks                                 ,74867AD200E41EDBA5D8B06885AB8052  ,1,EA          ,4.2,KG         ,EUR          ,1650,32,21,4,CM      ,"Notebook Basic 19 with 2,80 GHz quad core, 19"" LCD, 8 GB DDR3 RAM, 1000 GB Hard Disc, Windows 8 Pro                                                                                                                                                            "
74867AD200E41EDBA5D8B06B26EBC052,HT-1007   ,PR       ,PDAs & Organizers                         ,74867AD200E41EDBA5D8B06885ABA052  ,1,EA          ,0.2,KG         ,USD          ,299,32,22,3,CM      ,Digital Organizer with State-of-the-Art Storage Encryption                                                                                                                                                                                                     
74867AD200E41EDBA5D8B06B26EBE052,HT-1010   ,PR       ,Notebooks                                 ,74867AD200E41EDBA5D8B06885ABC052  ,1,EA          ,4.3,KG         ,EUR          ,1999,33,20,3,CM      ,"Notebook Professional 15 with 2,80 GHz quad core, 15"" Multitouch LCD, 8 GB DDR3 RAM, 500 GB SSD - DVD-Writer (DVD-R/+R/-RW/-RAM),Windows 8 Pro                                                                                                                 "
74867AD200E41EDBA5D8B06B26EC0052,HT-1011   ,PR       ,Notebooks                                 ,74867AD200E41EDBA5D8B06885ABE052  ,1,EA          ,4.1,KG         ,JPY          ,2299,33,23,2,CM      ,"Notebook Professional 17 with 2,80 GHz quad core, 17"" Multitouch LCD, 8 GB DDR3 RAM, 500 GB SSD - DVD-Writer (DVD-R/+R/-RW/-RAM),Windows 8 Pro                                                                                                                 "
74867AD200E41EDBA5D8B06B26EC2052,HT-1020   ,PR       ,PDAs & Organizers                         ,74867AD200E41EDBA5D8B06885AC0052  ,1,EA          ,0.16,KG         ,EUR          ,459,10,1.8,17,CM      ,Digital Organizer with State-of-the-Art Encryption for Storage and Network Communications                                                                                                                                                                      
74867AD200E41EDBA5D8B06B26EC4052,HT-1021   ,PR       ,PDAs & Organizers                         ,74867AD200E41EDBA5D8B06885AC2052  ,1,EA          ,0.18,KG         ,MXN          ,149,11,1.7,18,CM      ,Digital Organizer with State-of-the-Art Encryption for Storage and Secure Stellite Link                                                                                                                                                                        
74867AD200E41EDBA5D8B06B26EC6052,HT-1022   ,PR       ,PDAs & Organizers                         ,74867AD200E41EDBA5D8B06885AC4052  ,1,EA          ,0.2,KG         ,ARS          ,1679,84,1.5,14,CM      ,32 GB Digital Assistant with high-resolution color screen                                                                                                                                                                                                      
74867AD200E41EDBA5D8B06B26EC8052,HT-1023   ,PR       ,PDAs & Organizers                         ,74867AD200E41EDBA5D8B06885AC6052  ,1,EA          ,0.8,KG         ,USD          ,512,80,1.6,13,CM      ,64 GB Digital Assistant with high-resolution color screen and synthesized voice output                                                                                                                                                                         
74867AD200E41EDBA5D8B06B26ECA052,HT-1030   ,PR       ,Flat Screen Monitors                      ,74867AD200E41EDBA5D8B06885AC8052  ,1,EA          ,21,KG         ,EUR          ,230,37,12,36,CM      ,"Optimum Hi-Resolution max. 1920 x 1080 @ 85Hz, Dot Pitch: 0.27mm                                                                                                                                                                                               "
74867AD200E41EDBA5D8B06B26ECC052,HT-1031   ,PR       ,Flat Screen Monitors                      ,74867AD200E41EDBA5D8B06885ACA052  ,1,EA          ,21,KG         ,GBP          ,285,40.8,19,43,CM      ,"Optimum Hi-Resolution max. 1920 x 1200 @ 85Hz, Dot Pitch: 0.26mm                                                                                                                                                                                               "
74867AD200E41EDBA5D8B06B26ECE052,HT-1032   ,PR       ,Flat Screen Monitors                      ,74867AD200E41EDBA5D8B06885ACC052  ,1,EA          ,21,KG         ,EUR          ,345,40.8,19,43,CM      ,"Optimum Hi-Resolution max. 2560 x 1440 @ 85Hz, Dot Pitch: 0.25mm                                                                                                                                                                                               "
74867AD200E41EDBA5D8B06B26ED0052,HT-1035   ,PR       ,Flat Screen Monitors                      ,74867AD200E41EDBA5D8B06885ACE052  ,1,EA          ,14,KG         ,USD          ,399,39,20,41,CM      ,"Optimum Hi-Resolution max. 1600 x 1200 @ 85Hz, Dot Pitch: 0.24mm                                                                                                                                                                                               "
74867AD200E41EDBA5D8B06B26ED2052,HT-1036   ,PR       ,Flat Screen Monitors                      ,74867AD200E41EDBA5D8B06885AD0052  ,1,EA          ,15,KG         ,CAD          ,430,45,26,46,CM      ,"Optimum Hi-Resolution max. 2048 x 1080 @ 85Hz, Dot Pitch: 0.26mm                                                                                                                                                                                               "
