NODE_KEY,locale,DESCRIPTION
74867AD200E41EDBA5D8B06B26EB4052,de,"Notebook Basic 15 mit 2,80 GHz Quad-Core, 15 ""LCD, 4 GB DDR3-RAM, 500 GB Festplatte, Windows 8 Pro"
74867AD200E41EDBA5D8B06B26EB6052,de,"Notebook Basic 17 mit 2,80 GHz Quad-Core, 17 ""LCD, 4 GB DDR3-RAM, 500 GB Festplatte, Windows 8 Pro"
74867AD200E41EDBA5D8B06B26EB8052,de,"Notebook Basic 18 mit 2,80 GHz Quad-Core, 18 ""LCD, 8 GB DDR3-RAM, 1000 GB Festplatte, Windows 8 Pro"
74867AD200E41EDBA5D8B06B26EBA052,de,"Notebook Basic 19 mit 2,80 GHz Quad-Core, 19 ""LCD, 8 GB DDR3-RAM, 1000 GB Festplatte, Windows 8 Pro"
74867AD200E41EDBA5D8B06B26EBC052,de,Digital Organizer mit modernster Speicherverschlüsselung
74867AD200E41EDBA5D8B06B26EBE052,de,"Notebook Professional 15 mit 2,80 GHz Quad-Core, 15 ""Multitouch-LCD, 8 GB DDR3-RAM, 500 GB SSD - DVD-Brenner (DVD-R / + R / -RW / -RAM), Windows 8 Pro"
74867AD200E41EDBA5D8B06B26EC0052,de,"Notebook Professional 17 mit 2,80 GHz Quad-Core, 17 ""Multitouch-LCD, 8 GB DDR3-RAM, 500 GB SSD - DVD-Brenner (DVD-R / + R / -RW / -RAM), Windows 8 Pro"
74867AD200E41EDBA5D8B06B26EC2052,de,Digital Organizer mit modernster Verschlüsselung für Speicher und Netzwerkkommunikation
74867AD200E41EDBA5D8B06B26EC4052,de,Digital Organizer mit modernster Verschlüsselung für Speicher und Secure Stellite Link
74867AD200E41EDBA5D8B06B26EC6052,de,32 GB Digital Assistant mit hochauflösendem Farbbildschirm
74867AD200E41EDBA5D8B06B26EC8052,de,64 GB Digital Assistant mit hochauflösendem Farbbildschirm und synthetisierter Sprachausgabe
74867AD200E41EDBA5D8B06B26ECA052,de,"Optimale Hi-Resolution max. 1920 x 1080 bei 85 Hz, Punktabstand: 0,27 mm"
74867AD200E41EDBA5D8B06B26ECC052,de,"Optimale Hi-Resolution max. 1920 x 1200 bei 85 Hz, Punktabstand: 0,26 mm"
74867AD200E41EDBA5D8B06B26ECE052,de,"Optimale Hi-Resolution max. 2560 x 1440 bei 85 Hz, Punktabstand: 0,25 mm"
74867AD200E41EDBA5D8B06B26ED0052,de,"Optimale Hi-Resolution max. 1600 x 1200 bei 85 Hz, Punktabstand: 0,24 mm"
