PO_ID     ,PARTNER_GUID_NODE_KEY            ,CURRENCY_CODE,GROSS_AMOUNT        ,NET_AMOUNT          ,TAX_AMOUNT          ,LIFECYCLE_STATUS,OVERALL_STATUS
300000000,74867AD200E41EDBA5D8B06885B04052  ,EUR          ,3913.91,3289,624.91,N               ,P             
300000001,74867AD200E41EDBA5D8B06885AE0052  ,EUR          ,43534.96,36584,6950.96,N               ,N             
300000002,74867AD200E41EDBA5D8B06885B08052  ,EUR          ,18142.74,15246,2896.74,N               ,N             
300000003,74867AD200E41EDBA5D8B06885ACA052  ,EUR          ,6251.07,5253,998.07,N               ,B             
300000004,74867AD200E41EDBA5D8B06885AB8052  ,EUR          ,4467.94,3754.57,713.37,N               ,P             
300000005,74867AD200E41EDBA5D8B06885AB4052  ,EUR          ,6362.89,5346.96,1015.93,N               ,P             
300000006,74867AD200E41EDBA5D8B06885AD2052  ,EUR          ,4348.26,3654,694.26,N               ,D             
300000007,74867AD200E41EDBA5D8B06885AFE052  ,EUR          ,1857.5,1560.92,296.58,N               ,N             
300000008,74867AD200E41EDBA5D8B06885AD0052  ,EUR          ,2791.74,2346,445.74,N               ,D             
300000009,74867AD200E41EDBA5D8B06885AC6052  ,EUR          ,1427.76,1199.8,227.96,N               ,N             
300000010,74867AD200E41EDBA5D8B06885AD6052  ,EUR          ,7261.38,6102,1159.38,N               ,B             
300000011,74867AD200E41EDBA5D8B06885AF8052  ,EUR          ,475.52,399.6,75.92,N               ,P             
300000012,74867AD200E41EDBA5D8B06885AE8052  ,EUR          ,15621.13,13127,2494.13,N               ,P             
300000013,74867AD200E41EDBA5D8B06885AB4052  ,EUR          ,6320.04,5310.95,1009.09,N               ,P             
300000014,74867AD200E41EDBA5D8B06885AF6052  ,EUR          ,239.19,201,38.19,N               ,P             
300000015,74867AD200E41EDBA5D8B06885ACC052  ,EUR          ,13075.83,10988.1,2087.73,N               ,D             
300000016,74867AD200E41EDBA5D8B06885ADC052  ,EUR          ,1942.08,1632,310.08,N               ,P             
300000017,74867AD200E41EDBA5D8B06885AB4052  ,EUR          ,117.8,98.99,18.81,N               ,P             
300000018,74867AD200E41EDBA5D8B06885ABE052  ,EUR          ,19813.5,16650,3163.5,N               ,P             
300000019,74867AD200E41EDBA5D8B06885AB8052  ,EUR          ,8448.47,7099.56,1348.91,N               ,P             
300000020,74867AD200E41EDBA5D8B06885AFA052  ,EUR          ,3980.08,3344.6,635.48,N               ,P             
300000021,74867AD200E41EDBA5D8B06885ABE052  ,EUR          ,7625.52,6408,1217.52,N               ,P             
300000022,74867AD200E41EDBA5D8B06885AD0052  ,EUR          ,1535.1,1290,245.1,N               ,P             
300000023,74867AD200E41EDBA5D8B06885B04052  ,EUR          ,1624.35,1365,259.35,N               ,P             
300000024,74867AD200E41EDBA5D8B06885AC0052  ,EUR          ,13781.39,11581,2200.39,N               ,P             
300000025,74867AD200E41EDBA5D8B06885AE0052  ,EUR          ,47582.15,39985,7597.15,N               ,P             
300000026,74867AD200E41EDBA5D8B06885AE6052  ,EUR          ,18190.34,15286,2904.34,N               ,P             
300000027,74867AD200E41EDBA5D8B06885AB2052  ,EUR          ,9182.04,7716,1466.04,N               ,P             
300000028,74867AD200E41EDBA5D8B06885B06052  ,EUR          ,5806.01,4879,927.01,N               ,P             
300000029,74867AD200E41EDBA5D8B06885AC6052  ,EUR          ,1626.37,1366.7,259.67,N               ,P             
300000030,74867AD200E41EDBA5D8B06885B04052  ,EUR          ,2691.78,2262,429.78,N               ,P             
300000031,74867AD200E41EDBA5D8B06885AE8052  ,EUR          ,4950.4,4160,790.4,N               ,P             
300000032,74867AD200E41EDBA5D8B06885AE6052  ,EUR          ,12020.19,10101,1919.19,N               ,P             
300000033,74867AD200E41EDBA5D8B06885AE2052  ,EUR          ,71973.58,60482,11491.58,N               ,P             
300000034,74867AD200E41EDBA5D8B06885B08052  ,EUR          ,8751.26,7354,1397.26,N               ,P             
300000035,74867AD200E41EDBA5D8B06885AEC052  ,EUR          ,4938.5,4150,788.5,N               ,P             
300000036,74867AD200E41EDBA5D8B06885AF2052  ,EUR          ,3227.24,2711.97,515.27,N               ,P             
300000037,74867AD200E41EDBA5D8B06885AF0052  ,EUR          ,8542.94,7178.94,1364,N               ,P             
300000038,74867AD200E41EDBA5D8B06885AC6052  ,EUR          ,3485.98,2929.4,556.58,N               ,P             
300000039,74867AD200E41EDBA5D8B06885AB4052  ,EUR          ,6127.29,5148.98,978.31,N               ,P             
300000040,74867AD200E41EDBA5D8B06885AC4052  ,EUR          ,13274.68,11155.2,2119.48,N               ,P             
300000041,74867AD200E41EDBA5D8B06885AF2052  ,EUR          ,1933.73,1624.98,308.75,N               ,P             
300000042,74867AD200E41EDBA5D8B06885ABE052  ,EUR          ,2153.9,1810,343.9,N               ,P             
300000043,74867AD200E41EDBA5D8B06885AE6052  ,EUR          ,5622.75,4725,897.75,N               ,P             
300000044,74867AD200E41EDBA5D8B06885ABE052  ,EUR          ,20476.33,17207,3269.33,N               ,P             
300000045,74867AD200E41EDBA5D8B06885AE2052  ,EUR          ,90278.16,75864,14414.16,N               ,P             
300000046,74867AD200E41EDBA5D8B06885AE0052  ,EUR          ,12848.43,10797,2051.43,N               ,P             
300000047,74867AD200E41EDBA5D8B06885B04052  ,EUR          ,1067.43,897,170.43,N               ,P             
300000048,74867AD200E41EDBA5D8B06885AEE052  ,EUR          ,5257.42,4418,839.42,N               ,P             
300000049,74867AD200E41EDBA5D8B06885AE8052  ,EUR          ,16756.39,14081,2675.39,N               ,P             
300000050,74867AD200E41EDBA5D8B06885ABA052  ,EUR          ,7349.35,6175.92,1173.43,N               ,P             
300000051,74867AD200E41EDBA5D8B06885ADC052  ,EUR          ,11252.64,9456,1796.64,N               ,P             
300000052,74867AD200E41EDBA5D8B06885B02052  ,EUR          ,3140.41,2639,501.41,N               ,P             
300000053,74867AD200E41EDBA5D8B06885ACA052  ,EUR          ,6251.07,5253,998.07,N               ,P             
300000054,74867AD200E41EDBA5D8B06885AF0052  ,EUR          ,3944.82,3314.97,629.85,N               ,P             
300000055,74867AD200E41EDBA5D8B06885AE2052  ,EUR          ,125635.44,105576,20059.44,N               ,P             
300000056,74867AD200E41EDBA5D8B06885B00052  ,EUR          ,974.61,819,155.61,N               ,P             
300000057,74867AD200E41EDBA5D8B06885AEC052  ,EUR          ,3669.96,3084,585.96,N               ,P             
300000058,74867AD200E41EDBA5D8B06885AB4052  ,EUR          ,7677.85,6451.97,1225.88,N               ,P             
300000059,74867AD200E41EDBA5D8B06885AB2052  ,EUR          ,3453.38,2902,551.38,N               ,P             
300000060,74867AD200E41EDBA5D8B06885ADA052  ,EUR          ,12644.94,10626,2018.94,N               ,P             
300000061,74867AD200E41EDBA5D8B06885AC0052  ,EUR          ,4598.16,3864,734.16,N               ,P             
300000062,74867AD200E41EDBA5D8B06885AF4052  ,EUR          ,722.23,606.91,115.32,N               ,P             
300000063,74867AD200E41EDBA5D8B06885AFC052  ,EUR          ,2354.54,1978.6,375.94,N               ,P             
300000064,74867AD200E41EDBA5D8B06885ADE052  ,EUR          ,10281.6,8640,1641.6,N               ,P             
