NODE_KEY,PRODUCT_ID,TYPE_CODE,CATEGORY,SUPPLIER_GUID_NODE_KEY,TAX_TARIF_CODE,MEASURE_UNIT,WEIGHT_MEASURE,WEIGHT_UNIT,CURRENCY_CODE,PRICE,WIDTH,DEPTH,HEIGHT,DIM_UNIT,DESCRIPTION
74867AD200E41EDBA5D8B06B26EB4052,HT-1000,PR,Notebooks,74867AD200E41EDBA5D8B06885AB2052,1,EA,4.2,KG,EUR,956,30,18,3,CM,"NotebookBasic15with2,80GHzquadcore,15""LCD,4GBDDR3RAM,500GBHardDisc,Windows8Pro"
74867AD200E41EDBA5D8B06B26EB6052,HT-1001,PR,Notebooks,74867AD200E41EDBA5D8B06885AB4052,1,EA,4.5,KG,EUR,1249,29,17,3.1,CM,"NotebookBasic17with2,80GHzquadcore,17""LCD,4GBDDR3RAM,500GBHardDisc,Windows8Pro"
74867AD200E41EDBA5D8B06B26EB8052,HT-1002,PR,Notebooks,74867AD200E41EDBA5D8B06885AB6052,1,EA,4.2,KG,USD,1570,28,19,2.5,CM,"NotebookBasic18with2,80GHzquadcore,18""LCD,8GBDDR3RAM,1000GBHardDisc,Windows8Pro"
74867AD200E41EDBA5D8B06B26EBA052,HT-1003,PR,Notebooks,74867AD200E41EDBA5D8B06885AB8052,1,EA,4.2,KG,EUR,1650,32,21.2,4,CM,"NotebookBasic19with2,80GHzquadcore,19""LCD,8GBDDR3RAM,1000GBHardDisc,Windows8Pro"
74867AD200E41EDBA5D8B06B26EBC052,HT-1007,PR,PDAs&Organizers,74867AD200E41EDBA5D8B06885ABA052,1,EA,0.2,KG,USD,299,32,22,3,CM,DigitalOrganizerwithState-of-the-ArtStorageEncryption
74867AD200E41EDBA5D8B06B26EBE052,HT-1010,PR,Notebooks,74867AD200E41EDBA5D8B06885ABC052,1,EA,4.3,KG,EUR,1999,33,20,3,CM,"NotebookProfessional15with2,80GHzquadcore,15""MultitouchLCD,8GBDDR3RAM,500GBSSD-DVD-Writer(DVD-R/+R/-RW/-RAM),Windows8Pro"
74867AD200E41EDBA5D8B06B26EC0052,HT-1011,PR,Notebooks,74867AD200E41EDBA5D8B06885ABE052,1,EA,4.1,KG,JPY,2299,33,23,2,CM,"NotebookProfessional17with2,80GHzquadcore,17""MultitouchLCD,8GBDDR3RAM,500GBSSD-DVD-Writer(DVD-R/+R/-RW/-RAM),Windows8Pro"
74867AD200E41EDBA5D8B06B26EC2052,HT-1020,PR,PDAs&Organizers,74867AD200E41EDBA5D8B06885AC0052,1,EA,0.16,KG,EUR,459,10,1.8,17,CM,DigitalOrganizerwithState-of-the-ArtEncryptionforStorageandNetworkCommunications
74867AD200E41EDBA5D8B06B26EC4052,HT-1021,PR,PDAs&Organizers,74867AD200E41EDBA5D8B06885AC2052,1,EA,0.18,KG,MXN,149,11,1.7,18,CM,DigitalOrganizerwithState-of-the-ArtEncryptionforStorageandSecureStelliteLink
74867AD200E41EDBA5D8B06B26EC6052,HT-1022,PR,PDAs&Organizers,74867AD200E41EDBA5D8B06885AC4052,1,EA,0.2,KG,ARS,1679,84,1.5,14,CM,32GBDigitalAssistantwithhigh-resolutioncolorscreen
74867AD200E41EDBA5D8B06B26EC8052,HT-1023,PR,PDAs&Organizers,74867AD200E41EDBA5D8B06885AC6052,1,EA,0.8,KG,USD,512,80,1.6,13,CM,64GBDigitalAssistantwithhigh-resolutioncolorscreenandsynthesizedvoiceoutput
74867AD200E41EDBA5D8B06B26ECA052,HT-1030,PR,FlatScreenMonitors,74867AD200E41EDBA5D8B06885AC8052,1,EA,21.2,KG,EUR,230,37,12,36,CM,"OptimumHi-Resolutionmax.1920x1080@85Hz,DotPitch:0.27mm"
74867AD200E41EDBA5D8B06B26ECC052,HT-1031,PR,FlatScreenMonitors,74867AD200E41EDBA5D8B06885ACA052,1,EA,21.2,KG,GBP,285,40.8,19,43,CM,"OptimumHi-Resolutionmax.1920x1200@85Hz,DotPitch:0.26mm"
74867AD200E41EDBA5D8B06B26ECE052,HT-1032,PR,FlatScreenMonitors,74867AD200E41EDBA5D8B06885ACC052,1,EA,21.2,KG,EUR,345,40.8,19,43,CM,"OptimumHi-Resolutionmax.2560x1440@85Hz,DotPitch:0.25mm"
74867AD200E41EDBA5D8B06B26ED0052,HT-1035,PR,FlatScreenMonitors,74867AD200E41EDBA5D8B06885ACE052,1,EA,14.3,KG,USD,399,39,20,41,CM,"OptimumHi-Resolutionmax.1600x1200@85Hz,DotPitch:0.24mm"
74867AD200E41EDBA5D8B06B26ED2052,HT-1036,PR,FlatScreenMonitors,74867AD200E41EDBA5D8B06885AD0052,1,EA,15.4,KG,CAD,430,45,26,46,CM,"OptimumHi-Resolutionmax.2048x1080@85Hz,DotPitch:0.26mm"
74867AD200E41EDBA5D8B06B26ED4052,HT-1037,PR,FlatScreenMonitors,74867AD200E41EDBA5D8B06885AD2052,1,EA,17.5,KG,MXN,1230,54.5,22.1,39.1,CM,"OptimumHi-Resolutionmax.2016x1512@85Hz,DotPitch:0.24mm"
74867AD200E41EDBA5D8B06B26ED6052,HT-1040,PR,LaserPrinters,74867AD200E41EDBA5D8B06885AD4052,1,EA,32.6,KG,EUR,830,51,46,30,CM,"Print2400dpiimagequalitycolordocumentsatspeedsofupto32ppm(color)or36ppm(monochrome),letter/A4.Powerful500MHzprocessor,512MBofmemory"
74867AD200E41EDBA5D8B06B26ED8052,HT-1041,PR,LaserPrinters,74867AD200E41EDBA5D8B06885AD6052,1,EA,23.7,KG,ARS,490,48,42,26,CM,"Upto22ppmcoloror24ppmmonochromeA4/letter,powerful500MHzprocessorand128MBofmemory"
74867AD200E41EDBA5D8B06B26EDA052,HT-1042,PR,LaserPrinters,74867AD200E41EDBA5D8B06885AD8052,1,EA,17.7,KG,EUR,349,53,50,65,CM,"Printupto25ppmletterand24ppmA4colorormonochrome,withafirst-page-out-timeoflessthan13secondsformonochromeandlessthan15secondsforcolor"
