ID,PO_ID,PARTNER_GUID_NODE_KEY,CURRENCY_CODE,GROSS_AMOUNT,NET_AMOUNT,TAX_AMOUNT,LIFECYCLE_STATUS,OVERALL_STATUS
02BD2137-0890-1EEA-A6C2-BB55C1978999,300000000,74867AD200E41EDBA5D8B06885B04052,EUR,3913.91,3289,624.91,N,P
02BD2137-0890-1EEA-A6C2-BB55C1979000,300000001,74867AD200E41EDBA5D8B06885AE0052,EUR,43534.96,36584,6950.96,N,P
02BD2137-0890-1EEA-A6C2-BB55C1979001,300000002,74867AD200E41EDBA5D8B06885B08052,EUR,18142.74,15246,2896.74,N,P
02BD2137-0890-1EEA-A6C2-BB55C1979002,300000003,74867AD200E41EDBA5D8B06885ACA052,EUR,6251.07,5253,998.07,N,P
02BD2137-0890-1EEA-A6C2-BB55C1979003,300000004,74867AD200E41EDBA5D8B06885AB8052,EUR,4467.94,3754.57,713.37,N,P
02BD2137-0890-1EEA-A6C2-BB55C1979004,300000005,74867AD200E41EDBA5D8B06885AB4052,EUR,6362.89,5346.96,1015.93,N,P
02BD2137-0890-1EEA-A6C2-BB55C1979005,300000006,74867AD200E41EDBA5D8B06885AD2052,EUR,4348.26,3654,694.26,N,P
02BD2137-0890-1EEA-A6C2-BB55C1979006,300000007,74867AD200E41EDBA5D8B06885AFE052,EUR,1857.5,1560.92,296.58,N,P
02BD2137-0890-1EEA-A6C2-BB55C1979007,300000008,74867AD200E41EDBA5D8B06885AD0052,EUR,2791.74,2346,445.74,N,P
02BD2137-0890-1EEA-A6C2-BB55C1979008,300000009,74867AD200E41EDBA5D8B06885AC6052,EUR,1427.76,1199.8,227.96,N,P
02BD2137-0890-1EEA-A6C2-BB55C1979009,300000010,74867AD200E41EDBA5D8B06885AD6052,EUR,7261.38,6102,1159.38,N,P
02BD2137-0890-1EEA-A6C2-BB55C1979010,300000011,74867AD200E41EDBA5D8B06885AF8052,EUR,475.52,399.6,75.92,N,P
02BD2137-0890-1EEA-A6C2-BB55C1979011,300000012,74867AD200E41EDBA5D8B06885AE8052,EUR,15621.13,13127,2494.13,N,P
02BD2137-0890-1EEA-A6C2-BB55C1979012,300000013,74867AD200E41EDBA5D8B06885AB4052,EUR,6320.04,5310.95,1009.09,N,P
02BD2137-0890-1EEA-A6C2-BB55C1979013,300000014,74867AD200E41EDBA5D8B06885AF6052,EUR,239.19,201,38.19,N,P
02BD2137-0890-1EEA-A6C2-BB55C1979014,300000015,74867AD200E41EDBA5D8B06885ACC052,EUR,13075.83,10988.1,2087.73,N,P
02BD2137-0890-1EEA-A6C2-BB55C1979015,300000016,74867AD200E41EDBA5D8B06885ADC052,EUR,1942.08,1632,310.08,N,P
02BD2137-0890-1EEA-A6C2-BB55C1979016,300000017,74867AD200E41EDBA5D8B06885AB4052,EUR,117.8,98.99,18.81,N,P
02BD2137-0890-1EEA-A6C2-BB55C1979017,300000018,74867AD200E41EDBA5D8B06885ABE052,EUR,19813.5,16650,3163.5,N,P
02BD2137-0890-1EEA-A6C2-BB55C1979018,300000019,74867AD200E41EDBA5D8B06885AB8052,EUR,8448.47,7099.56,1348.91,N,P
02BD2137-0890-1EEA-A6C2-BB55C1979019,300000020,74867AD200E41EDBA5D8B06885AFA052,EUR,3980.08,3344.6,635.48,N,P
02BD2137-0890-1EEA-A6C2-BB55C1979020,300000021,74867AD200E41EDBA5D8B06885ABE052,EUR,7625.52,6408,1217.52,N,P
02BD2137-0890-1EEA-A6C2-BB55C1979021,300000022,74867AD200E41EDBA5D8B06885AD0052,EUR,1535.1,1290,245.1,N,P
02BD2137-0890-1EEA-A6C2-BB55C1979022,300000023,74867AD200E41EDBA5D8B06885B04052,EUR,1624.35,1365,259.35,N,P
02BD2137-0890-1EEA-A6C2-BB55C1979023,300000024,74867AD200E41EDBA5D8B06885AC0052,EUR,13781.39,11581,2200.39,N,P
